item_category_name	item_brand_name
tops	helly hansen work wear
tops	wrangler
tops	lucky sets
tops	pippa & julie
tops	ghostbusters
tops	hudson jeans
tops	impact
tops	anthem of the ants
tops	t-line
tops	red kap
tops	lee uniforms
tops	bravado
tops	american classics
tops	fox
tops	trevco
tops	tailor vintage
tops	russell athletic
tops	primitive
tops	danskin
tops	robert graham
tops	jobman workwear
tops	anne klein
tops	dc
tops	dickies girl
tops	fea merchandising
tops	oakley
tops	kenneth cole reaction
tops	blu pepper
tops	vintage america blues
tops	nic+zoe
tops	faux real
tops	rvca
tops	fea
tops	enro
tops	skinnytees
tops	charles river apparel
tops	zanerobe
tops	ely & walker
tops	cinch
tops	michael stars
tops	desigual
tops	woolrich
tops	star vixen
tops	stone rose
tops	brixton
tops	foxcroft
tops	three dots
tops	jack of all trades
tops	fruit of the loom
tops	stacy adams
tops	bugatchi
tops	the sandlot
tops	alfred dunner
tops	french connection
tops	miraclebody by miraclesuit
tops	minkpink
tops	only hearts
tops	huf
tops	fox racing
tops	armani jeans
tops	hbo game of thrones
tops	ben sherman
tops	ag adriano goldschmied
tops	haggar
tops	southpole
tops	pusheen
tops	ruby rd.
tops	wolverine
tops	wt02
tops	goodie two sleeves
tops	sugar lips
tops	soffe
tops	neff
tops	le big
tops	rip curl
tops	pl movement by pink lotus
tops	vince camuto
tops	velvet by graham & spencer
tops	gildan
tops	rebecca taylor
tops	cosabella
tops	gant
tops	somedays lovin
tops	equipment
tops	lrg
tops	cupcakes and cashmere
tops	joe's jeans
tops	2(x)ist
tops	kenneth cole
tops	angie
tops	lee
tops	isaac morris
tops	nydj
tops	lyssé
tops	sullen clothing
tops	despicable me
tops	caribbean joe
tops	nanette lepore
tops	champion life
tops	stateside
tops	lamade
tops	classroom uniforms
tops	susana monaco
tops	trina turk
tops	jones new york
tops	milly
tops	joie
tops	j. crew mercantile
tops	fifth sun
tops	kasper
tops	sriracha
